[00:00] 你用你自己的速度去閱讀它你要讀幾遍隨便你就是
[00:04] 你覺得你看得懂那在閱讀的過程裡面我希望你做了
[00:09] 一件事拿起來把解這道題目裡面兩類很關鍵的線索
[00:17] 一個叫做它，這個題目到底在問什麼？
[00:20] 要解這個問題，它到底在問什麼，就是你要回答這個問題。
[00:24] 第二個是，你解這道題目要用什麼？用會用到什麼條件？
[00:30] 你把那個條件句畫出來，那畫出來之後，下面的學習單
[00:35] 裡面會請你寫上，什麼是到底問什麼——核心問句是什麼？。
[00:40] 然後條件語句是……什麼？。好，那閱讀完之後，如果你覺得還
[00:46] 可以，需要你——需要跟你的隔壁夥伴、後面夥伴討論，那你就
[00:51] 自己轉頭去跟你的夥伴分享，這個題目到底到底讀到
[00:55] 什麼線索。
[00:57] 清楚嗎？簡單講，就是把條件句畫出來，把核心問句找出來。
[01:04] 然後從條件句可以知道什麼。
[01:07] 好，OK，我們就開始了。
[01:56] [靜音]
[06:18] 來，暫停一下，先看我。
[06:23] 剛剛我在你們——巡視一下，我發現很多同學都已經
[06:29] 開始直接列式做計算了。
[06:34] 那如果你已經完成列式計算了，等一下，
[06:38] 我會需要你說明，你為什麼這樣列式；那其他還沒有完
[06:43] 整列式的，你不要急著列式，你先把條件句找出來，然後
[06:50] 你去思考一件事情：到底這些條件句，跟你要解的這個
[06:56] 問題之間的關係是什麼？？
[07:00] 條件句可以推論出什麼的訊息，跟解題有幫助的，你先
[07:05] 跟你的左右隔壁前後夥伴，先去分享，從這些條件
[07:12] 到底可以推論出跟解題有關的訊息是什麼？，先用你的
[07:18] 話把它講出來，不急著列式。
[07:23] 清楚嗎？好，開始。
[08:04] [靜音]
[12:27] 來，我再次打斷你們。我看到你們啊，很棒的一個地方是，
[12:31] 當你需要的時候，你會轉頭去跟你的隔壁人或者後面
[12:35] 的去做很輕聲的討論，我看了非常開心。然後我還發現，
[12:43] 好多好多同學很棒。我上次來觀課的時候，有些同學好像
[12:49] 有一點心不在焉，你們到目前為止，你們哪怕到現在，就算你有
[12:55] 一點點的問題，但是你還是願意投入學習，你們真的做
[12:59] 得非常棒！好，那接下來，剛剛有那個品靚問了一個問題，
[13:04] 我發現也大概是你們
[13:06] 大致上的問題。我們來看一些，學習單裡面有兩個欄位。
[13:12] 在核心問題下面，有一個最左邊的一個條件理據，中間
[13:17] 是從條件可以推論得知的訊息，
[13:22] 然後在右邊的是解題邏輯。來，誰可以告訴我，
[13:28] 這三個欄位意思是什麼？？
[13:40] 就要怎麼再變成分析？
[13:46] 我沒有聽得很清楚，不太懂你的意思。
[13:50] 你可以再說一次，或者是你旁邊的人，沒有辦法幫忙說
[13:54] 一下，還是你要再說一次？
[13:58] 說「前面三個」，什麼前面三個是指哪？
[14:04] 什麼叫前面三個？你所謂的前面三個，回到題目來，你告訴
[14:08] 我，前面三個是指哪？
[14:17] 是什麼？
[14:19] 有人可以幫他嗎？
[14:21] 好，那個，繼續來。
[14:24] 我的新問題是最後要整個辦法是什麼，然後挑戰也就是
[14:30] 你要先知道他給你的已知條件，
[14:34] 然後可以推出這個訊息，是你要從那些去寫，裡面先知道
[14:44] 那些，只要告訴你最後最想求得的答案。
[14:49] 聽清楚嗎？
[14:52] 季顯講的，我覺得很清楚。有沒有人可以再用你的話幫
[14:56] 季顯再講一次？
[14:59] 好，季顯，很多人大概聽不太清楚，你要表達，你可以慢慢
[15:04] 一句話來。剛剛那個核心問句先跳過，你把條件語句還有
[15:09] 推論的訊息還有解題邏輯，講得很清楚，再說一次。
[15:14] 條件語句是……
[15:16] 你要先從題目找出它的條件，
[15:22] 然後還有它的線索。第二個可以得知的訊息，是你要再
[15:30] 把前面你知道的，
[15:33] 在前面你知道是哪一句，你要再把它——你要知道裡面的
[15:40] 意思，然後最後你才能說
[15:46] 計算，還有人可以幫他說嗎？說得更清楚。
[15:52] 你哪裡不懂？
[15:54] 剛剛季顯講的，你沒有——他不懂，你沒有不懂？
[16:01] 你們都聽懂嗎？
[16:03] 真的喔，好像是我聽不懂的喔，那我就問你一下，謝謝你。
[16:10] 最後一個說，再算什麼，那個「算什麼」可以再講清楚一點？
[16:14] 那個計算，他給你的限制……
[16:20] 計算，那個計算……
[16:23] 怎麼計算這件事情，用線索來計算答案。
[16:31] 那用線索計算，那你怎麼算？
[16:35] 可不可以再講一個？解題你怎麼算？
[16:43] 有沒有先後順序？
[16:45] 有，所以要先算什麼，再算什麼，先算你不知道的東西，先
[16:50] 算它第一步的，好，然後再算第二步的，好。
[16:58] 好，所以那個解題邏輯……
