[00:00] 什麼工作怎樣
[00:02] 配音員做音樂
[00:06] 是不是在說配音員他一整天的工作內容
[00:10] 從他的準備
[00:12] 進行工作到後面回家
[00:14] 還有一些後續的程序滿論
[00:18] 那接下來
[00:20] 我們就來討論一下
[00:24] 這一刻
[00:26] 我們的配音員
[00:28] 他竟然說了這麼多
[00:30] 那什麼叫做好的配音員條件
[00:34] 現在給你們三分鐘時間
[00:36] 請你自己安靜的莫讀客文
[00:40] 開始
[01:58] 好
[02:28] 好
[02:58] 好
[03:28] 那一些是你認為好的配音員
[03:56] 要有條件
[03:58] 那我請你不要抄客文
[04:02] 不要抄客文
[04:04] 你簡單寫下
[04:06] 他是在定幾頁定幾句
[04:08] 定幾段的定幾句
[04:10] 那哪個關鍵的語詞或是行為
[04:14] 你覺得是一個好的配音員
[04:16] 應該要有的
[04:18] 就簡單寫一下
[04:20] 就可以嗎
[04:22] 有沒有問題
[04:24] 開始請你先寫上翻譯多少姓名
[04:54] 還有哪裡有我有什麼
[04:56] 我有了
[04:58] 我放假翻譯姓名譽別
[05:00] 然後還沒找對者
[05:02] 我
[05:04] 我
[05:06] 我
[05:08] 我
[05:10] 我
[05:12] 我
[05:14] 我
[05:16] 我
[05:18] 我
[05:20] 我放假翻譯姓名譽別
[05:22] 然後還沒找對者
[05:24] 我
[05:26] 我
[05:28] 我
[05:30] 我
[05:32] 我
[05:34] 我
[05:36] 我
[05:38] 我
[05:40] 我
[05:42] 我
[05:44] 我
[05:46] 我
[05:48] 我
[05:50] 簡單寫下
[05:52] 等一下
[05:54] 我們進行小組的分享討論
[07:20] 小組
[07:22] 小組
[07:24] 小組
[07:26] 小組
[07:28] 小組
[07:30] 小組
[07:32] 小組
[07:34] 小組
[07:36] 小組
[07:38] 小組
[07:40] 小組
[07:42] 小組
[07:44] 小組
[07:46] 小組
[08:18] 您簡單用自己的話
[08:20] 那一個特輪班層
[08:22] 會說是甚麼話
[08:25] 簡單
[10:48] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
[11:18] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
[11:34] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
