濱之鄉小學脇坂歸晤社會課《自動車生產公開課》中文逐字稿

[00:00:00.000] 社會科真的是非常龐大的資料。
[00:00:08.000] 社會社長講授人們的學習，
[00:00:12.900] 為了思考如何創造思考
[00:00:17.720] 介紹了社會上的許多學生，
[00:00:22.260] 為了讓大家做，
[00:00:23.260] 必須要能在建築物中被調查。
[00:00:26.820] 開發新的產品，
[00:00:30.920] 他寫在他們的知識方案中。
[00:00:33.600] 他們在知識方案中，
[00:00:36.040] 是一個閱讀的學生。
[00:00:38.840] 他認為這一組學生，
[00:00:40.700] 他們是思考型的學生，
[00:00:46.080] 他們在小組中
[00:00:48.620] 他們不是自己的想像。
[00:00:50.920] 他們，他們，
[00:00:52.220] 他們到處都在說話。
[00:00:54.320] 他們，他們，他們哪裡都沒說話。
[00:00:56.240] 但他有看到最主要目標嗎？
[00:01:00.460] 那並不是我們所說的意思。
[00:01:03.560] 他因為在這個同�提問，
[00:01:05.240] 他為何幾乎沒有犯錯呢？
[00:01:07.720] 他的想法與我不同。
[00:01:09.800] 不知為何，別人當然沒有，
[00:01:12.340] 或許他們很多人會感到悲傷。
[00:01:14.060] 然而他沒有學習世界上社會科學校途中經過的ovat。
[00:01:17.700] 人們是如何辦學的呢？
[00:01:19.300] 教導學校裡國中生的體格。
[00:01:21.080] 實際上，其他人我們的
[00:01:22.660] 貢獻於其他社會的理由
[00:01:28.260] 並不相同。
[00:01:30.060] 沒有正確的答案。
[00:01:32.460] 其原因是
[00:01:34.460] 高速學生的其他社會，
[00:01:36.060] 教導是很重要的。
[00:01:39.060] 教導高速學生的原因是很重要的。
[00:01:41.760] 大家也請看。
[00:01:43.860] 他的內圈是
[00:01:46.660] 為了我們翻譯，
[00:01:47.660] 他的內圈是我們學校的老師。
[00:01:52.360] 他的核心人脈是我們學校的老師。
[00:01:57.580] 他之所以貢獻社會，其原因是
[00:02:00.480] 讓他感到非常滿足。
[00:02:02.980] 貢獻社會的原因是
[00:03:02.590] 他是從事汽車產業的人。
[00:03:05.290] 這是在15個項目中，
[00:03:07.390] 為期15小時的課程單元，
[00:03:08.990] 這是第13堂課。
[00:03:11.390] 我們介紹了汽車的歷史，
[00:03:14.390] 也介紹了汽車產業的相關人物。
[00:03:26.680] 我們也邀請了
[00:03:28.280] 某位同學的父親，
[00:03:31.580] 來分享了與他相關的課題內容。
[00:03:34.940] 確保人類的生命安全非常重要。
[00:03:38.140] 我對我的家人和父親...
[00:04:14.670] 安全的車輛
[00:04:33.410] 這也同樣適用。
[00:04:34.410] 車輛乘員的生命安全。
[00:04:46.850] 根據大家的意見，
[00:04:49.850] 乘員的生命非常重要。
[00:04:52.850] 接著，
[00:05:00.900] 他們正在努力實現。
[00:05:03.900] 為什麼會朝著這個方向努力實現呢？
[00:05:05.900] 這點非常重要。
[00:05:07.900] 將安全視為乘員的安全。
[00:05:09.900] 在這輛車中，
[00:05:32.060] 這也同樣如此。
[00:06:00.010] 根據大家的意見，
[00:06:02.010] 車輛乘員的生命安全，
[00:06:06.010] 當我們考量這點時，
[00:06:08.010] 實現起來確實很麻煩。
[00:06:10.010] 也不想花費太多時間。
[00:06:12.010] 花費這麼多時間
[00:06:15.010] 像這樣
[00:06:17.010] 保護安全
[00:06:19.010] 也一樣
[00:06:24.560] 這份工作
[00:06:26.560] 不過
[00:06:27.560] 要保護人的安全
[00:06:29.560] 是很不方便的
[00:06:31.560] 今天
[00:06:33.560] 今天的主題
[00:06:35.560] 前幾天
[00:06:42.300] 先前
[00:06:46.800] 之前
[00:06:48.800] 這部分
[00:06:52.940] 教授說
[00:06:54.940] 如果這個
[00:06:56.940] 你不知道的話
[00:06:58.940] 這個人
[00:07:00.940] 正在保護安全
[00:07:06.650] 這個人
[00:07:08.650] 大家的爸爸
[00:07:10.650] 他的父親
[00:07:12.650] 最終是保護安全
[00:07:18.240] 若進行開發的話
[00:07:20.240] 當然
[00:07:22.240] 我們的成本
[00:07:24.240] 所使用的材料
[00:07:26.240] 最終
[00:07:28.240] 都是為了保護人的生命
[00:07:38.030] 但是
[00:07:46.780] 總是
[00:07:48.780] 我們
[00:07:50.780] 如何
[00:07:52.780] 保護人們的安全
[00:07:54.780] 另一方面
[00:07:56.780] 當然
[00:07:58.780] 當然
[00:08:00.780] 當然
[00:08:04.190] 當然
[00:08:06.190] 當然
[00:08:08.190] 保護人的生命
[00:08:10.190] 當然
[00:08:12.190] 當然
[00:08:16.080] 當然
[00:08:18.080] 這間汽車工廠
[00:08:20.080] 總是
[00:08:22.080] 工廠裡的師傅們
[00:08:24.080] 師傅們，各位師傅們
[00:08:27.450] 當然
[00:08:29.450] 保護安全
[00:08:32.730] 當然
[00:08:34.730] 當然
[00:08:36.730] 當然
[00:08:38.730] 當然
[00:08:40.730] 當然
[00:08:42.730] 當然
[00:08:44.730] 當然
[00:08:46.730] 當然
[00:08:48.730] 當然
[00:09:12.620] 當然
[00:09:14.620] 當然
[00:09:16.620] 當然
[00:09:37.630] 當然
[00:09:39.630] 當然
[00:10:03.100] 當然
[00:10:13.200] 當然
[00:10:15.200] 當然
[00:10:17.200] 當然
[00:10:19.200] 當然
[00:10:21.200] 當然
[00:10:25.050] 關於日本身為世界第一的情況
